time,vibX,vibY,vibZ
1679531079.0998497,1.482361,-0.514526,-0.328979
1679531079.3170135,1.732361,-0.248901,-0.344604
1679531079.5244815,1.732361,-0.686401,-0.063354
1679531079.7200313,0.982361,-0.233276,-0.407104
1679531079.9202895,1.232361,-0.123901,-0.672729
1679531080.1285372,1.482361,-0.639526,-0.594604
1679531080.308812,1.732361,-0.389526,-0.078979
1679531080.5240853,1.232361,-0.577026,-0.313354
1679531080.700029,1.232361,-0.545776,-0.453979
1679531080.8999226,1.232361,-0.467651,-0.360229
1679531081.0839145,1.482361,-0.561401,-0.328979
1679531081.256978,1.982361,-0.280151,-0.188354
1679531081.4370408,1.982361,-0.545776,-0.547729
1679531081.600412,1.232361,-0.545776,-0.672729
1679531081.7728786,1.232361,-0.248901,-0.469604
1679531081.9478767,1.232361,-0.295776,-0.203979
1679531082.1082678,1.732361,-0.577026,-0.297729
1679531082.2880757,1.482361,-0.748901,-0.422729
1679531082.4598596,1.732361,-0.467651,-0.453979
1679531082.6279037,1.982361,-0.405151,-0.328979
1679531082.8040483,1.482361,-0.670776,-0.485229
1679531082.9680214,0.982361,-0.483276,-0.438354
1679531083.1609757,1.482361,-0.170776,-0.469604
1679531083.3481376,0.982361,-0.264526,-0.375854
1679531083.5598476,1.982361,-0.373901,-0.391479
1679531083.7758968,1.482361,-0.405151,-0.657104
1679531083.964001,1.482361,-0.498901,-0.344604
1679531084.1689737,1.232361,-0.608276,-0.313354
1679531084.3650024,1.982361,-0.514526,-0.516479
1679531084.5440717,1.732361,-0.405151,-0.203979
1679531084.7160635,1.732361,-0.311401,-0.672729
1679531084.8918984,1.982361,-0.217651,-0.219604
1679531085.0762105,1.732361,-0.264526,-0.141479
1679531085.2488124,1.482361,-0.217651,-0.328979
1679531085.407918,1.482361,-0.405151,-0.078979
1679531085.569087,0.732361,-0.186401,-0.563354
1679531085.74386,1.482361,-0.342651,-0.188354
1679531085.9610536,1.482361,-0.858276,-0.375854
1679531086.1480634,1.732361,-0.311401,-0.235229
1679531086.3080263,1.732361,-0.452026,-0.313354
1679531086.4758768,1.732361,-0.592651,-0.672729
1679531086.6445785,1.232361,-0.233276,-0.282104
1679531086.8078942,1.732361,-0.530151,-0.328979
1679531086.991922,1.482361,-0.452026,-0.469604
1679531087.1520958,1.482361,-0.327026,-0.266479
1679531087.3491676,1.732361,-0.702026,-0.407104
1679531087.600008,1.482361,-0.358276,-0.047729
1679531087.793157,1.482361,-0.389526,-0.547729
1679531087.993189,1.482361,-0.623901,-0.172729
1679531088.163857,1.232361,-0.436401,-0.532104
1679531088.372098,1.482361,-0.467651,-0.360229
1679531088.5639114,1.732422,0.063599,-0.282104
1679531088.7318895,1.732361,-0.295776,-0.141479
1679531088.91193,1.732361,-0.545776,-0.547729
1679531089.092004,1.232361,-0.686401,-0.313354
1679531089.2690127,1.732361,-0.717651,-0.282104
1679531089.4439456,1.482361,-0.186401,-0.797729
1679531089.5960064,1.732361,-0.358276,-0.578979
1679531089.7848146,1.232361,-0.186401,-0.328979
1679531089.984597,1.232361,-0.639526,-0.516479
1679531090.14808,1.232361,-0.717651,-0.438354
1679531090.3201094,1.732361,-0.155151,-0.328979
1679531090.4929738,1.982361,-0.717651,-0.485229
1679531090.6649866,1.482361,-0.405151,-0.657104
1679531090.8399434,1.482361,-0.561401,-0.469604
1679531091.0200942,1.732361,-0.342651,-0.203979
1679531091.2040758,1.482361,-0.608276,-0.250854
1679531091.3800805,-1.767639,-0.342651,-0.625854
1679531091.537239,1.482361,-0.327026,-0.188354
1679531091.7294648,1.232361,-0.514526,-0.313354
1679531091.924713,0.982361,-0.373901,-0.203979
1679531092.1002326,1.232361,-0.217651,-0.641479
1679531092.288226,0.982361,-0.483276,-0.203979
1679531092.4680588,1.732361,-0.217651,-0.125854
1679531092.6607423,1.732361,-0.342651,-0.860229
1679531092.8278694,1.482361,-0.420776,-0.719604
1679531093.0045896,1.732361,-0.436401,-0.500854
1679531093.1919775,1.232361,-0.514526,-0.453979
1679531093.3930318,1.232361,-0.420776,-0.219604
1679531093.5690727,0.982361,-0.327026,-0.172729
1679531093.7351737,1.232361,-0.780151,-0.157104
1679531093.891888,1.732361,-0.577026,-0.203979
1679531094.0522115,1.232361,-0.342651,-0.469604
1679531094.2398813,1.482361,-0.420776,-0.688354
1679531094.4200294,1.232361,-0.608276,-0.375854
1679531094.603919,1.232361,-0.467651,-0.438354
1679531094.8638651,1.482361,-0.592651,-0.391479
1679531095.0374308,1.482361,-0.233276,-0.282104
1679531095.204014,1.482361,-0.202026,-0.360229
1679531095.3761394,1.732361,-0.514526,-0.313354
1679531095.5992503,1.232361,-0.311401,-0.438354
1679531095.8495114,1.482361,-0.592651,-0.657104
1679531096.068051,1.482361,-0.545776,-0.063354
1679531096.2531826,1.482361,-0.639526,-0.328979
1679531096.440091,1.982361,-0.389526,-0.344604
1679531096.64422,1.482361,-0.702026,-0.594604
1679531096.8080957,1.732361,-0.498901,-0.297729
1679531096.972977,1.732361,-0.577026,-0.672729
1679531097.1645875,1.232361,-0.139526,-0.516479
1679531097.349454,1.482361,-0.280151,-0.500854
1679531097.5640116,1.482361,-0.405151,-0.375854
1679531097.8079388,1.232361,-0.702026,-0.172729
1679531098.011965,1.232361,-0.373901,-0.500854
1679531098.1730528,1.232361,-0.467651,-0.688354
1679531098.3454292,1.232361,-0.452026,-0.797729
1679531098.6170774,1.732361,-0.655151,-0.391479
1679531098.824959,1.482361,-0.545776,-0.157104
1679531099.025373,1.982361,-0.280151,-0.391479
1679531099.237074,1.232361,-0.811401,-0.657104
1679531099.4293883,1.232361,-0.452026,-0.094604
1679531099.66,1.482361,-0.217651,-0.485229
1679531099.9202557,1.482361,-0.155151,-0.328979
1679531100.1560748,1.732361,-0.436401,-0.125854
1679531100.392087,1.482361,-0.733276,-0.172729
1679531100.6171134,1.732361,-0.358276,-0.250854
1679531100.8478403,1.732361,-0.389526,-0.547729
1679531101.0922208,0.982361,-0.623901,-0.641479
1679531101.368048,1.482361,-0.358276,-0.360229
1679531101.5481567,1.232361,-0.389526,-0.641479
1679531101.7598495,1.232361,-0.467651,-0.453979
1679531101.9769769,1.232361,-0.733276,-0.438354
1679531102.2411618,1.482361,-0.452026,-0.563354
1679531102.4654691,1.732361,-0.452026,-0.500854
1679531102.6480951,0.982361,-0.467651,-0.360229
1679531102.8360815,1.482361,-0.373901,-0.422729
1679531103.0600631,1.232361,-0.248901,-0.297729
1679531103.261098,1.482361,-0.639526,-0.578979
1679531103.49296,1.732361,-0.248901,-0.828979
1679531103.7009516,1.732361,-0.514526,-0.688354
1679531103.903968,1.732361,-0.389526,-0.375854
1679531104.0890317,1.232361,-0.561401,-0.438354
1679531104.2559023,1.232361,-0.358276,-0.625854
1679531104.4439402,1.732361,-0.623901,-0.328979
1679531104.6079311,1.982361,-0.545776,-0.375854
1679531104.779854,1.732361,-0.451965,0.030396
1679531104.997229,1.232361,-0.514526,-0.703979
1679531105.1974928,1.232361,-0.139526,-0.469604
1679531105.4213543,1.482361,-0.311401,-0.360229
1679531105.6400173,1.482361,-0.530151,-0.203979
1679531105.8035693,1.232361,-0.327026,-0.235229
1679531105.991988,1.982361,-0.670776,-0.360229
1679531106.1520536,1.232361,-0.280151,-0.266479
1679531106.3282723,1.482361,-0.436401,-0.735229
1679531106.5278745,1.982361,-0.545776,-0.641479
1679531106.7563815,1.732361,-0.389526,-0.141479
1679531106.9639966,1.232361,-0.405151,-0.485229
1679531107.159924,1.482361,-0.452026,-0.360229
1679531107.3601942,1.482361,-0.639526,-0.782104
1679531107.564037,1.232361,-0.295776,-0.453979
1679531107.7522974,1.232361,-0.592651,-0.563354
1679531107.9442215,1.732361,-0.327026,-0.703979
1679531108.1123097,1.232361,-0.592651,-0.532104
1679531108.2960646,1.482361,-0.233276,-0.391479
1679531108.4641109,1.732361,-0.170776,-0.625854
1679531108.6361992,1.482361,-0.358276,-0.375854
1679531108.8359206,1.232361,-0.608276,-0.328979
1679531109.0082047,1.482361,-0.452026,-0.453979
1679531109.19217,1.732361,-0.342651,-0.391479
1679531109.3640754,1.732361,-0.545776,-0.500854
1679531109.536245,1.482361,-0.202026,-0.313354
1679531109.7040415,-1.767639,-0.561401,-0.328979
1679531109.8878882,-1.767639,-0.217651,-0.766479
1679531110.093074,1.482361,-0.389526,-0.344604
1679531110.3041492,1.732361,-0.530151,-0.547729
1679531110.4960227,1.482361,-0.514526,-0.500854
1679531110.7040818,1.732361,-0.311401,-0.328979
1679531110.8840528,1.732361,-0.514526,-0.610229
1679531111.0842535,1.482361,-0.311401,-0.407104
1679531111.2480683,1.232361,-0.295776,-0.641479
1679531111.4282143,1.232361,-0.452026,-0.625854
1679531111.620088,1.982361,-0.327026,-0.407104
1679531111.844,1.982361,-0.639526,-0.391479
1679531112.0159504,0.982361,-0.467651,-0.016479
1679531112.209156,1.482361,-0.530151,-0.250854
1679531112.3841083,1.732361,-0.577026,-0.469604
1679531112.5720985,1.482361,-0.405151,-0.203979
1679531112.7443347,1.732361,-0.358276,-0.328979
1679531112.912081,1.482361,-0.123901,-0.438354
1679531113.100072,1.732361,-0.248901,-0.578979
1679531113.284031,0.982361,-0.592651,-0.672729
1679531113.4686704,-1.767639,-0.608276,-0.547729
1679531113.653737,1.982361,-0.373901,-0.188354
1679531113.8170545,1.982361,-0.545776,-0.297729
1679531113.9880822,-1.767639,-0.342651,-0.203979
1679531114.184209,1.482361,-0.373901,-0.610229
1679531114.3640769,1.482361,-0.530151,-0.078979
1679531114.5642323,1.232361,-0.373901,-0.438354
1679531114.7362022,-1.767639,-0.139526,-0.750854
1679531114.9327538,1.982361,-0.217651,-0.360229
1679531115.1000743,1.232361,-0.498901,-0.375854
1679531115.2762053,1.482361,-0.389526,-0.532104
1679531115.4401994,1.482361,-0.358276,-0.500854
1679531115.6122663,1.232361,-0.327026,-0.391479
1679531115.7919142,1.482361,-0.342651,-0.235229
1679531115.996261,0.982361,-0.467651,-0.453979
1679531116.2723176,1.732361,-0.202026,-0.453979
1679531116.509054,1.482361,-0.186401,-0.703979
1679531116.716063,1.482361,-0.373901,-0.422729
1679531116.900998,1.732361,-0.467651,-0.657104
1679531117.0929463,1.482361,-0.452026,-0.188354
1679531117.2839935,1.232361,-0.545776,-0.547729
1679531117.459962,1.232361,-0.405151,-0.469604
1679531117.632809,1.982361,-0.623901,-0.485229
1679531117.8078682,1.232361,-0.467651,-0.297729
